address,zip_code,price,date,rooms,m2,built,m2_price
Peder Lykkes Vej  31,2300,13900000.0,09-05-2021,7,393,1927,35368.95674300254
Peder Lykkes Vej  40,2300,4850000.0,12-05-2020,3,141,1977,34397.16312056738
Peder Lykkes Vej  27,2300,6900000.0,06-09-2017,4,152,1919,45394.73684210526
Peder Lykkes Vej  43,2300,5550000.0,26-03-2017,5,150,1928,37000.0
Peder Lykkes Vej  41,2300,4195000.0,15-05-2011,6,127,1930,33031.496062992126
Peder Lykkes Vej  36,2300,4845000.0,19-09-2010,4,132,1994,36704.545454545456
Peder Lykkes Vej  33,2300,7300000.0,02-12-2007,11,391,1927,18670.07672634271
Peder Lykkes Vej  25,2300,3950000.0,07-06-2006,5,139,1970,28417.266187050358
Peder Lykkes Vej  37,2300,2995000.0,01-05-2004,5,140,1932,21392.85714285714
Peder Lykkes Vej  39,2300,1428000.0,19-08-1996,6,183,1928,7803.2786885245905
Vatnavej  17,2300,2550000.0,09-03-2020,4,83,1936,30722.89156626506
Vatnavej  24,2300,4800000.0,04-02-2020,6,152,1926,31578.947368421053
Vatnavej  28,2300,6100000.0,11-11-2019,4,131,1925,46564.885496183204
Vatnavej  22,2300,5000000.0,22-01-2019,4,130,1976,38461.53846153846
Vatnavej  19,2300,4500000.0,02-11-2016,3,94,1934,47872.34042553192
Vatnavej  20,2300,1343000.0,23-08-2015,5,104,1925,12913.461538461539
Vatnavej  9,2300,1444031.0,28-09-1997,6,178,1970,8112.533707865168
Vatnavej  14,2300,640000.0,07-12-1994,6,179,1923,3575.4189944134077
Torfavej  7,2300,7400000.0,19-12-2020,5,116,1949,63793.10344827586
Torfavej  3,2300,3145000.0,07-06-2018,5,138,1927,22789.855072463768
Torfavej  11,2300,5000000.0,23-08-2017,4,117,1938,42735.042735042734
Torfavej  9,2300,7200000.0,29-01-2017,5,191,1930,37696.33507853403
Torfavej  2,2300,5475000.0,29-03-2010,7,201,1927,27238.805970149253
Torfavej  6,2300,4360000.0,30-08-2007,6,144,1934,30277.777777777777
Torfavej  4,2300,1571000.0,30-04-2001,6,156,1927,10070.51282051282
Torfavej  8,2300,1450000.0,24-06-1999,5,108,1955,13425.925925925925
Torfavej  5,2300,898000.0,12-08-1995,4,108,1934,8314.814814814816
